org_letters,org_name,archetype,chapter_designation,university,university_short,founded_year,default_colors,website,source
ΑΚΔΦ,Alpha Kappa Delta Phi,mgc,Epsilon Chapter,UC Berkeley,UCB,1990,"{""accent"":""#C9A56F""}",https://akdphi.org,seed
ΑΣΑ,Alpha Sigma Alpha,npc,Alpha Chi,Indiana State University,ISU,1901,"{""accent"":""#C9A56F""}",https://alphasigmaalpha.org,seed
ΦΜ,Phi Mu,npc,Alpha Alpha,Wesleyan,Wesleyan,1852,"{""accent"":""#C9A56F""}",https://phimu.org,seed
ΑΞΔ,Alpha Xi Delta,npc,Alpha Nu,Northwestern,NW,1893,"{""accent"":""#C9A56F""}",https://alphaxidelta.org,seed
ΔΖ,Delta Zeta,npc,Alpha Pi,Miami University,MU,1902,"{""accent"":""#C9A56F""}",https://deltazeta.org,seed
ΣΔΤ,Sigma Delta Tau,npc,Alpha Theta,Cornell University,Cornell,1917,"{""accent"":""#C9A56F""}",https://sigmadeltatau.org,seed
ΤΒΠ,Tau Beta Pi,honor,Alpha Chapter,Lehigh University,Lehigh,1885,"{""accent"":""#C9A56F""}",https://tbp.org,seed
ΦΒΚ,Phi Beta Kappa,honor,Alpha Chapter,William & Mary,W&M,1776,"{""accent"":""#C9A56F""}",https://pbk.org,seed
ΠΤΣ,Pi Tau Sigma,honor,Alpha Chapter,University of Illinois,UIUC,1915,"{""accent"":""#C9A56F""}",https://pitausigma.net,seed
ΘΤ,Theta Tau,professional,Alpha Chapter,University of Minnesota,UMN,1904,"{""accent"":""#C9A56F""}",https://thetatau.org,seed
ΑΩ,Alpha Omega,professional,Alpha Chapter,New York University,NYU,1907,"{""accent"":""#C9A56F""}",https://alphaomega.com,seed
ΔΣΠ,Delta Sigma Pi,professional,Alpha Chapter,NYU Stern,NYU,1907,"{""accent"":""#C9A56F""}",https://deltasigmapi.org,seed
ΑΞΣ,Alpha Chi Sigma,professional,Alpha Chapter,University of Wisconsin,UW,1902,"{""accent"":""#C9A56F""}",https://alphachisigma.org,seed
ΑΟΠ,Alpha Omicron Pi,npc,Alpha Phi,Northwestern,NW,1897,"{""accent"":""#C9A56F""}",https://alphaomicronpi.org,seed
ΚΔ,Kappa Delta,npc,Alpha Alpha,Longwood University,Longwood,1897,"{""accent"":""#C9A56F""}",https://kappadelta.org,seed
ΣΚ,Sigma Kappa,npc,Alpha Delta,Colby College,Colby,1874,"{""accent"":""#C9A56F""}",https://sigmakappa.org,seed
ΑΓΔ,Alpha Gamma Delta,npc,Alpha Lambda,University of Minnesota,UMN,1904,"{""accent"":""#C9A56F""}",https://alphagammadelta.org,seed
